,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,4.41132351392901,136.87341354070207,0.3770590418943948
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.09176344228909604,136.87341354070207,0.007843504454208786
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,77.44543490679014,136.87341354070207,6.619668993408345
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,1.915579423213407,136.87341354070207,0.16373465689124886
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,1560.4990632529468,136.87341354070207,133.3840693862848
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,98.62408396250319,136.87341354070207,8.429919612377866
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,1.6982840907049352,136.87341354070207,0.14516128098148853
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1045.0934432688437,136.87341354070207,89.32963795667918
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,2.758048239593954,136.87341354070207,0.23574490137395854
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.06507811254004434,136.87341354070207,0.005562568849272478
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,46.94152653842992,136.87341354070207,4.012339372923518
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,92.05829196061765,136.87341354070207,7.868706807719195
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,953.420070353314,136.87341354070207,81.49383220595331
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,1.8142604902797486,136.87341354070207,0.15507439435165074
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,88.29936521088736,136.87341354070207,7.547411551470319
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,3.4395869275493194,136.87341354070207,0.29399960064572644
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,42.06878875612405,136.87341354070207,3.5958408246312747
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.08169088269186363,136.87341354070207,0.00698254976358943
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1021.5962967328547,136.87341354070207,87.32121315352502
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,279.8746251550536,136.87341354070207,23.922357468977882
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1027.2200099551148,136.87341354070207,87.80190152579668
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,20.917915864578585,136.87341354070207,1.7879643806265828
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,665.4163147362752,136.87341354070207,56.87663516473544
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,2172.470162191552,136.87341354070207,185.69246062176012
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,563.1171875798843,136.87341354070207,48.13259026518868
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,59.021742511743916,136.87341354070207,5.044899022287843
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,1.6365096856535928,136.87341354070207,0.13988109740195562
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,1.9148110475203606,136.87341354070207,0.16366897977604292
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,20.50745407317193,136.87341354070207,1.7528800506486613
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.054832902131905614,136.87341354070207,0.004686856785012973
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,225.55171032051936,136.87341354070207,19.279091982838814
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,21.907838853530173,136.87341354070207,1.8725783094360962
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.70447344061903,136.87341354070207,0.060215053310219306
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,9.454258077650486,136.87341354070207,0.8081052050082317
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,0.8613693961756579,136.87341354070207,0.07362577653024377
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.021905747084226553,136.87341354070207,0.0018723995149026648
