,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2748.2413517406508,349.5729045705636,288.3085971628257,269.62184879734787,268.97633371427247,268.97633371427247,266.4000806205445,132.25177227202468,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,62382.76451638042,9045.039684673047,7993.005412834929,7642.383575313452,7642.383575313452,7642.383575313452,7572.305104022841,3032.3719070044554,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,1394.2641432712549,207.14512157111508,178.78431441672814,170.88883444692306,170.88883444692306,170.88883444692306,169.82421202611326,83.42901014023931,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,39395.490505900394,5811.0273439563725,5006.120330875525,4654.252295194096,4648.8945882977305,4648.8945882977305,4616.983394075421,1951.6912138932034,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,995.4467686821831,172.47350272641833,148.9094706332521,140.35836239897566,140.35836239897566,140.35836239897566,138.67483976778664,73.75526879176249,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,30374.507402897936,4531.002909233876,3817.7750559379724,3648.1378905353886,3644.6039712036068,3644.6039712036068,3612.884287441323,1688.0138484185277,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,49723.242757967775,9164.659072603681,8024.742582989877,7722.235273984052,7704.441741945028,7704.441741945028,7609.524639229708,4344.518473929363,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,33794.918905443745,5067.472655000997,4338.181147778637,4193.564236790602,4193.564236790602,4193.564236790602,4156.591358316678,1875.151222414322,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,512.9351165675464,97.21047456789293,82.10067535676886,79.40284472426885,79.34000882139547,79.34000882139547,78.83919935954226,40.64475753117048,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,16193.175659216877,2676.89526824097,2298.731658369752,2190.267594801767,2187.0837077611686,2187.0837077611686,2174.3272176438836,1048.1522963391092,40.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,205.18640803517027,42.3539917472175,36.16098492029192,34.54790019171197,34.54790019171197,34.54790019171197,34.27694218120632,19.16783786858175,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,6562.275286634536,1130.9267554596202,979.5427362318422,942.7158405621564,942.7158405621564,942.7158405621564,939.1156916890111,436.3097591429522,50.0,0.1,1.0
