,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Lxy <= 0.5,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,4261,542,447,418,417,417,413,144,62,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,3558,516,456,436,436,436,432,153,45,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,7390,1090,939,873,872,872,866,355,146,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,6536,971,838,801,801,801,796,363,180,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,7098,1230,1062,1001,1001,1001,989,563,362,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,8600,1283,1081,1033,1032,1032,1023,497,261,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,8377,1544,1352,1301,1298,1298,1282,843,577,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,10056,1508,1291,1248,1248,1248,1237,701,394,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,8179,1550,1309,1266,1265,1265,1257,861,568,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,10151,1678,1441,1373,1371,1371,1363,833,505,40.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,761,157,134,128,128,128,127,91,61,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,14604,2517,2180,2098,2098,2098,2090,1382,808,50.0,0.1,1.0
